name,description,category,base_url,organization,organization_contact
City of Denver Checkbook,"These datasets include accounts payable payments and procurement card transactions made to vendors by the City and County of Denver for the current year to date and previous years. The datasets are refreshed each day with the previous business day's transactions. New travel datasets cannot be provided from August 2017 due to confidentiality concerns however, historic travel datasets will be maintained.

Notice: In August 2017, the city implemented a new financial system which created new Expense categories and prompted some expenses to roll in to different or new categories. When viewing 2017 data you may have to look at several Expense categories for a complete picture. Procurement data from August 2017 to December 2017 are in a separate file. When viewing 2017 procurement data, you will need two files.

Disclaimer: The City and County of Denver is committed to the highest levels of data security and privacy, therefore not all payment transactions will be displayed. Payment transactions that are confidential are excluded from the data. Protected information such as social security numbers, banking information, and personal data are excluded from payment transaction details. Payments to retirement and health care providers include employee contributions. The data contained on this website is unaudited and is for informational purposes only. It is not the intent of the site to provide information that may be used to determine or influence the financial decisions of any website user.","['bic', 'gocode']",https://data.colorado.gov/resource/wnau-xrqi.json,,Colorado Information Marketplace
2021 Fort Collins City Employee Base Pay,"City employee base salary as of 2021-12-31.

Starting with 2020 data, in an effort to provide greater consumable and comparable data we're moving away from reporting individual employee earnings and instead provide base salaries as assigned per position. Due to this change this dataset cannot be directly combined with previous years' earnings data. The data represents a snapshot of salaries as of 2021-12-31 rather than actual paid amounts in 2021. Personnel spending data can be found on openbook.fcgov.com

These data are for the contracted position of each employee and therefore don't account for interim roles; the City of Fort Collins pay policy states that the employees in interim roles may be making up to 6% more than the reported salary.","['2021', 'employee salary', 'base pay', 'hourly rate', 'employee pay', 'pay', 'salaries']",https://data.colorado.gov/resource/8k7k-3hwc.json,,Tim Campbell
City of Denver Pending Short Term Rentals,This dataset represents Short Term Rental business licenses (issued in the City of Denver) with a pending renewal record associated with it.,"['bic', 'gocode']",https://data.colorado.gov/resource/mpff-jbkx.json,,Colorado Information Marketplace
City of Denver Short Term Rental Licenses,"This dataset represents active Lodging business licenses issued in the City of Denver and the associated expiration date, primary address and primary parcel.","['bic', 'gocode']",https://data.colorado.gov/resource/f3vc-vat3.json,,Colorado Information Marketplace
City of Denver Security Guard Licenses by Business,This dataset represents active Private Security Employer business licenses that are issued in the City of Denver and the actively licensed Security Guards they employ.,"['bic', 'gocode']",https://data.colorado.gov/resource/q7ri-3nsu.json,,Colorado Information Marketplace
Denver Active Standalone Lodging,"This dataset represents active Lodging business licenses issued in the City of Denver and the associated expiration date, primary address and primary parcel.","['bic', 'gocode']",https://data.colorado.gov/resource/sshp-3kyq.json,,Colorado Information Marketplace
Colorado Toxic Release Inventory 2020,The Toxics Release Inventory (TRI) contains information on the release and waste management for over 800 toxic chemicals and toxic chemical categories as reported annually by facilities in certain industries as well as federal facilities.,"['bic', 'gocode']",https://data.colorado.gov/resource/2sn7-naei.json,,Colorado Information Marketplace
Highway Grades in Colorado,"Highway grades in sections across Colorado. Contains detailed data for state highways, including grades from the Colorado Department of Transportation (CDOT).","['bic', 'cdot', 'cdos', 'gocodecolorado', 'transportation', 'highway', 'curves', 'grades', 'freeway', 'drive', 'driving', 'traffic', 'roads', 'attributes', 'travel', 'transit']",https://data.colorado.gov/resource/jr8i-33tp.json,,Colorado Information Marketplace
"Road HOV, Curves, and Grades in Colorado","Local road segments in Colorado with Curve and Grade data, data on High-Occupancy Lanes, Restricted Lanes, Reversible Lanes, Express or Toll Lanes.","['cdot', 'bic', 'cdos', 'transportation', 'gocodecolorado', 'highways', 'roads', 'attributes', 'quality', 'transit', 'travel', 'colorado']",https://data.colorado.gov/resource/cr6z-hn4e.json,,Colorado Information Marketplace
Highway Curves in Colorado,"Highway curvatures in sections across Colorado. Contains detailed data for state highways, including curvature from the Colorado Department of Transportation (CDOT).","['bic', 'cdot', 'cdos', 'gocodecolorado', 'transportation', 'highway', 'curves', 'grades', 'freeway', 'drive', 'driving', 'traffic', 'roads', 'attributes', 'travel', 'transit']",https://data.colorado.gov/resource/an2q-gwrx.json,,Colorado Information Marketplace
Road Attributes in Colorado 2021,"Road attributes including number of lanes, surface type, roughness factor, etc. from the Colorado Department of Transportation (CDOT).","['cdot', 'bic', 'cdos', 'transportation', 'gocodecolorado', 'highways', 'roads', 'attributes', 'quality', 'transit', 'travel', 'colorado']",https://data.colorado.gov/resource/ccz9-ggrb.json,,Colorado Information Marketplace
myColorado Active Users by enrollment month,Number of active users by month enrolled,['mycolorado'],https://data.colorado.gov/resource/w95h-ad6a.json,,Russell Cast
Census Block Groups in Colorado 2019,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'covid19', 'colorado', 'census', 'acs', 'american community survey', 'counties', 'subdivisions', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis', '2018']",https://data.colorado.gov/resource/spwe-6ca7.json,,Colorado Information Marketplace
Land Characteristics in Clear Creek County 2020,Characteristics of land parcels in Clear Creek County in 2020.,[],https://data.colorado.gov/resource/7tmk-3ibe.json,,Colorado Information Marketplace
Commercial Locations Characteristics in Clear Creek County 2020,"Characteristics of commercial locations in Clear Creek County, 2020.",[],https://data.colorado.gov/resource/qifa-4jur.json,,Colorado Information Marketplace
Condo Characteristics in Clear Creek County 2020,Characteristics and details of structures in condo buildings in Clear Creek County as of 2020.,[],https://data.colorado.gov/resource/sacq-tw7c.json,,Colorado Information Marketplace
Residence Characteristics in Clear Creek County 2020,Characteristics of residential dwellings in Clear Creek County in 2020.,[],https://data.colorado.gov/resource/mev7-qffb.json,,Colorado Information Marketplace
Subdivisions in Garfield County 2019,GIS data and locations of subdivisions in Garfield county in 2019.,[],https://data.colorado.gov/resource/nwd2-s3kd.json,,Colorado Information Marketplace
Zoning in Garfield County 2019,GIS data and locations of zoning in Garfield county in 2019.,[],https://data.colorado.gov/resource/d2cu-rhft.json,,Colorado Information Marketplace
Subdivisions in Pitkin County 2019,GIS data and locations of subdivisions in Pitkin county in 2019.,[],https://data.colorado.gov/resource/u9u9-cq2s.json,,Colorado Information Marketplace
Subdivisions in Larimer County 2019,GIS data and locations of subdivisions in Larimer county in 2019.,[],https://data.colorado.gov/resource/abdb-jtwc.json,,Colorado Information Marketplace
Zoning in Lake County 2020,GIS data and locations of zoning in Lake county in 2020.,[],https://data.colorado.gov/resource/mdbi-p4c8.json,,Colorado Information Marketplace
Subdivisions in La Plata County 2019,GIS data and locations of subdivisions in La Plata county in 2019.,[],https://data.colorado.gov/resource/t3k6-vndx.json,,Colorado Information Marketplace
Zoning in Jefferson County 2019,DRCOG GIS data and locations of zoning in Jefferson county in 2019.,[],https://data.colorado.gov/resource/rcw7-6npp.json,,Colorado Information Marketplace
Zoning in El Paso County 2019,GIS data and locations of zoning areas in El Paso county in 2019.,[],https://data.colorado.gov/resource/42wt-sxkv.json,,Colorado Information Marketplace
Subdivisions in Eagle County 2019,GIS data and locations of subdivisions in Eagle county in 2019.,[],https://data.colorado.gov/resource/6exr-8xkn.json,,Colorado Information Marketplace
Zoning in Eagle County 2019,GIS data and locations of zoning in Eagle county in 2019.,[],https://data.colorado.gov/resource/wyy2-wvrc.json,,Colorado Information Marketplace
Subdivisions in Broomfield County 2019,GIS data and locations of subdivisions in Broomfield county in 2019.,[],https://data.colorado.gov/resource/w2w7-ggyk.json,,Colorado Information Marketplace
Zoning in Broomfield County 2019,GIS data and locations of zoning in Broomfield county in 2019.,[],https://data.colorado.gov/resource/8pmi-n437.json,,Colorado Information Marketplace
Subdivisions in Boulder County 2019,GIS data and locations of subdivisions in Boulder county in 2019.,[],https://data.colorado.gov/resource/t5eg-ziay.json,,Colorado Information Marketplace
Zoning in Boulder County 2019,GIS data and locations of zoning in Boulder County in 2019.,[],https://data.colorado.gov/resource/yvwz-kj9z.json,,Colorado Information Marketplace
Subdivisions in Adams County 2019,GIS data and locations of subdivisions in Adams County in 2019.,[],https://data.colorado.gov/resource/eeb6-6s76.json,,Colorado Information Marketplace
Zoning in Adams County 2019,GIS data and locations of zoning in Adams County in 2019.,[],https://data.colorado.gov/resource/72dx-vrxk.json,,Colorado Information Marketplace
Fire Stations in Mesa County 2019,GIS data and locations of fire stations in Mesa County in 2019.,[],https://data.colorado.gov/resource/9fte-yff6.json,,Colorado Information Marketplace
Open Space Trails in Jefferson County 2020,GIS data about Trails on undeveloped land accessible to the public in Jefferson County in 2020.,[],https://data.colorado.gov/resource/3ka2-m6zm.json,,Colorado Information Marketplace
Fire Stations in Eagle County 2019,GIS data and locations of fire stations in Eagle County in 2019.,[],https://data.colorado.gov/resource/ceje-t3ek.json,,Colorado Information Marketplace
Police Stations in Eagle County 2019,GIS data on locations of police stations in Eagle County in 2019.,[],https://data.colorado.gov/resource/afm6-vyyp.json,,Colorado Information Marketplace
Police Stations in Adams County 2019,GIS data on locations of police stations in Adams County in 2019.,[],https://data.colorado.gov/resource/3j7e-ezpr.json,,Colorado Information Marketplace
Libraries in Adams County 2019,GIS data on locations of libraries in Adams County in 2019.,[],https://data.colorado.gov/resource/b7zn-sry4.json,,Colorado Information Marketplace
Fire Stations in Boulder County 2019,GIS data on locations of fire stations in Boulder County in 2019.,[],https://data.colorado.gov/resource/y2yv-a2wp.json,,Colorado Information Marketplace
Fire Stations in Adams County 2019,GIS data on locations of fire stations in Adams County in 2019.,[],https://data.colorado.gov/resource/kr2r-j5ik.json,,Colorado Information Marketplace
Fire Stations in Denver County 2019,GIS data on locations of fire stations in Denver County in 2019.,[],https://data.colorado.gov/resource/24hn-nv39.json,,Colorado Information Marketplace
Census Block Groups in Colorado with 2013-2017 5 Year ACS Data,,[],https://data.colorado.gov/resource/ceds-zyhj.json,,SDO_GIS
Census Block Groups in Colorado with 2014-2018 5 Year ACS Data,,[],https://data.colorado.gov/resource/hd4e-r3ci.json,,SDO_GIS
Census Block Groups in Colorado with 2015-2019 5 Year ACS Data,,[],https://data.colorado.gov/resource/ry3z-q9ub.json,,SDO_GIS
Census Tracts in Colorado with 2015-2019 5 Year ACS Data,,[],https://data.colorado.gov/resource/8khm-5k2d.json,,SDO_GIS
Census Tracts in Colorado with 2014-2018 5 Year ACS Data,,[],https://data.colorado.gov/resource/p65d-7pbh.json,,SDO_GIS
Census Tracts in Colorado with 2013-2017 5 Year ACS Data,,[],https://data.colorado.gov/resource/gj3y-3q7e.json,,SDO_GIS
Census Places in Colorado 2017,,[],https://data.colorado.gov/resource/ng7u-7ksi.json,,SDO_GIS
Census Places in Colorado 2018,,[],https://data.colorado.gov/resource/mcqi-tgah.json,,SDO_GIS
Census Places in Colorado 2019,,[],https://data.colorado.gov/resource/ft29-5tzj.json,,SDO_GIS
Census Counties in Colorado 2019,,[],https://data.colorado.gov/resource/uyfv-7n5r.json,,SDO_GIS
Census Counties in Colorado 2018,,[],https://data.colorado.gov/resource/gvxf-vtd9.json,,SDO_GIS
Census Counties in Colorado 2017,,[],https://data.colorado.gov/resource/ki8y-9xp7.json,,SDO_GIS
Census in Colorado 2019,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis']",https://data.colorado.gov/resource/smjm-6h6g.json,,Colorado Information Marketplace
Census Zip Codes in Colorado 2019,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'zip codes', 'american community survey', 'location', 'geospatial', 'gis']",https://data.colorado.gov/resource/bjhg-77mf.json,,Colorado Information Marketplace
Census Tracts in Colorado 2019,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'census tracts', 'tracts', 'gis']",https://data.colorado.gov/resource/cj4m-96y8.json,,Colorado Information Marketplace
Census Counties in Colorado 2019,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/8j3i-rjn4.json,,Colorado Information Marketplace
Census Congressional Districts in Colorado 2019,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'congressional districts', 'voting', 'gis']",https://data.colorado.gov/resource/tbmm-ubn9.json,,Colorado Information Marketplace
Census Places in Colorado 2019,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/xpi4-stak.json,,Colorado Information Marketplace
2020 Fort Collins City Employee Base Pay,"City employee base salary as of 2020-12-31.

Starting with 2020 data, in an effort to provide greater consumable and comparable data we're moving away from reporting individual employee earnings and instead provide base salaries as assigned per position. Due to this change this dataset cannot be directly combined with previous years' earnings data. The data represents a snapshot of salaries as of 2020-12-31 rather than actual paid amounts in 2020. Personnel spending data can be found on openbook.fcgov.com

These data are for the contracted position of each employee and therefore don't account for interim roles; the City of Fort Collins pay policy states that the employees in interim roles may be making up to 6% more than the reported salary.","['2020', 'employee salary', 'base pay', 'hourly rate']",https://data.colorado.gov/resource/nit5-kfur.json,,Tim Campbell
"Businesses Issued Outdoor Expansion Permits in Denver, Colorado","Businesses that were issued permits by the City and County of Denver to expand outdoor service during the COVID-19 pandemic. To see restaurants currently participating in the program, filter the ""extension_through"" column.","['bic', 'gocodecolorado', 'business', 'denver', 'colorado', 'outdoor', 'seating', 'expand', 'expansion', 'temporary', 'progra', 'dor', 'liquor', 'covid', 'covid-19', 'coronavirus', 'recession', 'pandemic', 'streets', 'street', 'curb', 'curbside']",https://data.colorado.gov/resource/6ntv-x37b.json,,Colorado Information Marketplace
COVID-19 Liquor License Modifications in Colorado,"Due to COVID-19, liquor establishments licensed for on-premises sales and consumption of alcohol beverages were closed, and take out and delivery methods were put into place. As Colorado now starts to re-open certain businesses, the Liquor Enforcement Division has been collaborating with local licensing authorities, various state and county public health departments, and various stakeholders, to re-open with limited capacity for on-site consumption of alcohol beverages and food service.","['bic', 'dor', 'cdor', 'liquor', 'covid-19', 'covid', 'coronavirus', 'license', 'licenses', 'approved', 'modified', 'modification', 'mod', 'business', 'gocodecolorado', 'outdoor', 'expansions', 'distance', 'distancing', 'street', 'row', 'right', 'of', 'way', 'temporary', 'biz', 'dba']",https://data.colorado.gov/resource/e7wz-djhw.json,,Colorado Information Marketplace
Breckenridge COVID-19 Business Modifications,"Modifications to businesses in Breckenridge, Colorado that were made due to COVID-19.","['bic', 'gocodecolorado', 'breckenridge', 'covid', 'covid-19', 'coronavirus', 'modifications', 'main', 'street', 'avenue', 'porch', 'patio', 'liquor', 'beer', 'food', 'restaurant', 'retsaurants', 'colorado', 'mountains', 'town', 'mountain', 'towns', 'ski', 'skis', 'snowboard', 'resort', 'area', 'lift', 'eat', 'business', 'businesses', 'license', 'row', 'right', 'of', 'way', 'co']",https://data.colorado.gov/resource/xwar-3geb.json,,Colorado Information Marketplace
COVID-19 Economic Injury Disaster Loans (EIDL) Recipients in Colorado,"EIDL recipients from the US SBA, subset to the state of Colorado.","['bic', 'gocodecolorado', 'colorado', 'sba', 'us', 'eidl', 'economic', 'injury', 'disaster', 'relief', 'fund', 'loan', 'recipient', 'covid', 'coronavirus', 'recession', 'covid-19', 'government', 'fiscal', 'policy', 'business', 'businesses', 'local', 'recovery']",https://data.colorado.gov/resource/8ant-mn9d.json,,Colorado Information Marketplace
Road Traffic Counts in Colorado 2019,Traffic counts on public roads under local jurisdiction in 2019. Provided by the CDOT.,"['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'roads', 'traffic', 'traffic counts', 'gis']",https://data.colorado.gov/resource/4j38-u7sj.json,,Colorado Information Marketplace
Highway Traffic Counts in Colorado 2019,"Traffic counts on highways and various calculations, from Colorado Department of Transportation (CDOT), for 2019.","['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'highways', 'traffic', 'traffic counts', 'roads', 'gis']",https://data.colorado.gov/resource/fbn4-ype4.json,,Colorado Information Marketplace
Scenic Byways,,[],https://data.colorado.gov/resource/kfvd-dqhm.json,,ArcGIS Connector
Scenic Byways in Colorado,Line segment data of CDOT designated scenic byways in Colorado.,"['bic', 'gocodecolorado', 'gis', 'cdot', 'transportation', 'scenic', 'byway', 'highway', 'route', 'line', 'segment', 'scenery', 'rec', 'recreation', 'tourism', 'tour', 'drive', 'driving', 'car', 'cars', 'nature', 'colorado', 'co', 'dot', 'skyway', 'legends', 'caminos', 'antiguos', 'peak', 'evans', 'alpine', 'loop', 'river', 'headwaters', 'lariat', 'poudre', 'cache', 'trail', 'ridge', 'gold', 'top', 'rockies', 'dinosaur', 'diamond']",https://data.colorado.gov/resource/6aqe-63uq.json,,Colorado Information Marketplace
City of Fort Collins Building IDs,"List of unique building IDs that connect to building footprints.

Buildings here are those covered by Building Energy and Water Scoring ordinance.",['building id bews address benchmark'],https://data.colorado.gov/resource/ytk2-zimb.json,,Tim Campbell
Paycheck Protection Program Loans in Colorado,"Paycheck Protection Program loans are SBA loans that helps businesses keep their workforce employed during the Coronavirus (COVID-19) crisis, specific to Colorado. Includes < $150,000 loans and > $150,000 loans. Current law dictates that the Paycheck Protection Program (PPP) close at the end of August 8, 2020.","['bic', 'gocodecolorado', 'covid', 'covid-19', 'coronavirus', 'ppp', 'paycheck', 'protection', 'program', 'sba', 'small', 'business', 'administration', 'treasury', 'gov', 'fed', 'lending', '2020', 'colorado', 'zip', 'assistance', 'crisis', 'workforce', 'employer', 'employ', 'employee']",https://data.colorado.gov/resource/73ay-2ues.json,,Colorado Information Marketplace
Road Traffic Counts in Colorado 2018,Traffic counts on public roads under local jurisdiction in 2018. Provided by the CDOT.,"['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'roads', 'traffic', 'traffic counts', 'gis']",https://data.colorado.gov/resource/bk6n-e4g7.json,,Colorado Information Marketplace
Highway Traffic Counts in Colorado 2018,"Traffic counts on highways and various calculations, from Colorado Department of Transportation (CDOT), for 2018","['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'highways', 'traffic', 'traffic counts', 'roads', 'gis']",https://data.colorado.gov/resource/56kc-gpid.json,,Colorado Information Marketplace
CDOT Payroll Expenditures,Payroll expenditures for Colorado Department of Transportation for the current and previous state fiscal year.,"['bic', 'gocodecolorado', 'cdot', 'transportation', 'payroll expenditures', 'colorado', 'co', 'roads', 'projects', 'highways', 'tolls', 'department', 'region', 'local', 'materials']",https://data.colorado.gov/resource/rkmy-yymq.json,,Colorado Information Marketplace
CDOT Revenues,Revenues for Colorado Department of Transportation for the current and previous state fiscal year.,"['bic', 'gocodecolorado', 'cdot', 'transportation', 'revenues', 'colorado', 'co', 'roads', 'projects', 'highways', 'tolls', 'department', 'region', 'local', 'materials']",https://data.colorado.gov/resource/2kvt-7ybu.json,,Colorado Information Marketplace
CDOT Expenses,Expenses for Colorado Department of Transportation for the current and previous state fiscal year.,"['bic', 'gocodecolorado', 'cdot', 'transportation', 'expenses', 'colorado', 'co', 'roads', 'projects', 'highways', 'tolls', 'department', 'region', 'local', 'materials']",https://data.colorado.gov/resource/n5ku-eixc.json,,Colorado Information Marketplace
City of Fort Collins Water Quality,Water quality measurements for the City of Fort Collins.,['water utilities utility treated quality'],https://data.colorado.gov/resource/8n27-taq6.json,,Gudrun Kokoszka
City of Fort Collins Wastewater,"Time series of daily City of Fort Collins wastewater in need of reclamation, reported in 'millions of gallons per day' (MGD).

Note that this is provisional data unless otherwise specified.","['water', 'utilities', 'utility', 'wastewater', 'mgd']",https://data.colorado.gov/resource/dn37-qz6d.json,,Gudrun Kokoszka
Census Zip Codes in Colorado 2018,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'zip codes', 'american community survey', 'location', 'geospatial', 'gis']",https://data.colorado.gov/resource/iuxm-ddzz.json,,Colorado Information Marketplace
Census Congressional Districts in Colorado 2018,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'congressional districts', 'voting', 'gis']",https://data.colorado.gov/resource/86h6-mdkh.json,,Colorado Information Marketplace
Support Fort Collins Business during COVID-19 Availability search data,Dataset to support searching Fort Collins COVID Business Support by 'availability',['use tool instead of raw data'],https://data.colorado.gov/resource/s7qn-e795.json,,Tim Campbell
Support Fort Collins Business during COVID-19 Product Options search data,Dataset to support searching Fort Collins COVID Business Support by 'product options',['use tool instead of raw data'],https://data.colorado.gov/resource/b6e9-22f8.json,,Tim Campbell
Support Fort Collins Business during COVID-19,"Dataset of local Fort Collins business information during COVID-19.

See https://opendata.fcgov.com/d/9kwb-8b8c to best view the data.","['coronavirus', 'covid', 'business', 'local', 'support', 'available', 'availability', 'restaurant', 'retail']",https://data.colorado.gov/resource/my5h-qknb.json,,Tim Campbell
Board Boundaries for Denver Public Schools,Board member boundaries for the Denver Public School system board.,"['bic', 'gocodecolorado', 'education', 'dps', 'schools', 'denver', 'public', 'learning', 'teaching', 'enrollment', 'gis', 'polygon', 'boundaries', 'board', 'directors', 'k12', 'kindergarten', 'middle school', 'high school']",https://data.colorado.gov/resource/a58g-ce2r.json,,Colorado Information Marketplace
Denver Public Schools,Location of schools in the DPS system.,"['bic', 'gocodecolorado', 'schools', 'public', 'denver', 'dps', 'education', 'teaching', 'learning', 'highschool', 'middle school', 'elementary', 'system', 'colorado']",https://data.colorado.gov/resource/e4mf-ggwf.json,,Colorado Information Marketplace
Access Fort Collins Data,"Raw data from each Access Fort Collins case, submitted either by the public or via City Council.

Some questions are for informational purposes only and don't affect the rating or response; see column metadata for more details.","['faq', 'customer', 'customer service', 'complaints', 'public inquiry']",https://data.colorado.gov/resource/ckbp-tcy4.json,,Tim Campbell
Census Block Groups in Colorado 2018,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'covid19', 'colorado', 'census', 'acs', 'american community survey', 'counties', 'subdivisions', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis', '2018']",https://data.colorado.gov/resource/ge9s-ra8y.json,,Colorado Information Marketplace
Census Tracts in Colorado 2018,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'census tracts', 'tracts', 'gis']",https://data.colorado.gov/resource/qjuy-fmh4.json,,Colorado Information Marketplace
Census Places in Colorado 2018,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'covid19', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/t2jr-8j7z.json,,Colorado Information Marketplace
Census Counties in Colorado 2018,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/xum2-smvh.json,,Colorado Information Marketplace
Census in Colorado 2018,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'covid19', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis']",https://data.colorado.gov/resource/ph72-axst.json,,Colorado Information Marketplace
2019 Fort Collins City Employee Earnings,"Annual City employee earnings for calendar-year 2019. Earnings figures are those taxed by Medicare.
 
 This dataset cannot be directly combined with previous- or future- year earnings because it doesn't account for title changes or other job status changes. Further, the data represents paid amounts rather than stated salaries – i.e. if an employee worked March-December of a given year, the data reflects 10 months of compensation for the year.","['2019', 'employee earnings', 'earnings']",https://data.colorado.gov/resource/fbnn-74xe.json,,Tim Campbell
Septic System Locations in Mesa County Colorado,Parcels in Mesa County Colorado with septic system activity status.,"['bic', 'gocodecolorado', 'mesa county', 'mesa', 'county', 'grand junction', 'west', 'western slope', 'slope', 'colorado', 'septic', 'tanks', 'system', 'health', 'business', 'parcels', 'sewage', 'sewer', 'parcel', 'grand', 'junction', 'gis', 'geo', 'map', 'arc', 'esri', 'join']",https://data.colorado.gov/resource/jjbf-2wcw.json,,Colorado Information Marketplace
Highway Quality in Colorado 2018,"Highway segments and the various quality assurance data along with the overall grade, from the 2018 review of the Colorado Department of Transportation (CDOT).","['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'highways', 'roads', 'quality', 'grade', 'conditions', 'concrete']",https://data.colorado.gov/resource/skxn-j975.json,,Colorado Information Marketplace
Retail Reports by Industry and City in Colorado,"Number of returns, gross sales, retail sales, state net taxable sales, and state sales tax summarized monthly by city from the Colorado Department of Revenue.","['bic', 'business', 'covid19', 'gocodecolorado', 'dor', 'cdor', 'department of revenue', 'colorado', 'co', 'cities', 'industries', 'industry', 'agriculture', 'retail', 'manufacturing', 'vehicles', 'motor', 'public', 'administration', 'arts', 'entertainment', 'real estate', 'information', 'transportation', 'nonstore', 'merchandise', 'sporting', 'goods', 'hobby', 'musical', 'instrument', 'book', 'stores', 'gas', 'gasoline', 'service', 'stations', 'finance', 'insurance', 'management', 'mining', 'utilities', 'oil', 'extraction', 'consturciton', 'wholesale', 'parts', 'dealers', 'furniture', 'home', 'electronics', 'appliance', 'building', 'material', 'garden', 'equipment', 'supplies', 'food', 'beverage', 'health', 'personal', 'care', 'clothing', 'accessories']",https://data.colorado.gov/resource/k3gg-hhc8.json,,Colorado Information Marketplace
Retail Reports by County in Colorado,"Number of returns, gross sales, retail sales, state net taxable sales, retailers, and state sales tax summarized monthly by county from the Colorado Department of Revenue.","['bic', 'business', 'covid19', 'gocodecolorado', 'dor', 'cdor', 'revenue', 'retail', 'reports', 'county', 'colorado', 'co', 'department of revenue', 'returns', 'sales', 'gross', 'net', 'tax', 'taxable', 'nr', 'adams', 'alamosa', 'arapahoe', 'archuleta', 'baca', 'bent', 'boulder', 'broomfield', 'chaffee', 'cheyenne', 'clear creek', 'conejos', 'costilla', 'crowley', 'custer', 'delta', 'denver', 'dolores', 'douglas', 'eagle', 'el paso', 'elbert', 'fremont', 'garfield', 'gilpin', 'grand', 'gunnison', 'hinsdale', 'huerfano', 'jackson', 'jefferson', 'kiowa', 'kit carson', 'lake', 'la plata', 'larimer', 'las animas', 'lincoln', 'logan', 'mesa', 'mineral', 'moffat', 'montezuma', 'montrose', 'morgan', 'otero', 'ouray', 'park', 'phillips', 'pitkin', 'prowers', 'pueblo', 'rio blanco', 'rio grande', 'routt', 'saguache', 'san juan', 'san miguel', 'sedgwick', 'summit', 'teller', 'washington', 'weld', 'yuma']",https://data.colorado.gov/resource/x8tb-f3vh.json,,Colorado Information Marketplace
